model_name,split,metric,persisted,recomputed,difference,tolerance,tolerance_fraction
full_smatrix_neural,validation_training_mean_reference,ComplexMAE,0.08117783,0.08117783006792202,6.792201523442287e-11,1e-06,6.792201523442287e-05
full_smatrix_neural,validation_training_mean_reference,ComplexNRMSE,0.83700753,0.8370075284982588,-1.5017412868800761e-09,1e-06,0.0015017412868800761
full_smatrix_neural,test_training_mean_reference,ComplexMAE,0.08039935,0.08039935366807051,3.668070513995758e-09,1e-06,0.003668070513995758
full_smatrix_neural,test_training_mean_reference,ComplexNRMSE,0.83429936,0.8342993550337543,-4.966245747972664e-09,1e-06,0.004966245747972664
full_smatrix_neural,validation,MAE_dB,10.612905502319336,10.612906459862907,9.575435715447611e-07,0.0001,0.009575435715447611
full_smatrix_neural,validation,RMSE_dB,13.09895516225525,13.098953910356542,-1.2518987073661947e-06,0.0001,0.012518987073661947
full_smatrix_neural,test,MAE_dB,10.790292739868164,10.790292837511334,9.764316999394396e-08,0.0001,0.0009764316999394396
full_smatrix_neural,test,RMSE_dB,14.344613774373206,14.34461388544383,1.1107062292126102e-07,0.0001,0.0011107062292126102
full_smatrix_neural,validation,SixPathMAE_dB,10.73257827758789,10.732578128534996,-1.4905289447142422e-07,0.0001,0.0014905289447142422
full_smatrix_neural,validation,SixPathRMSE_dB,13.253389896550996,13.253389707189356,-1.8936163925786786e-07,0.0001,0.0018936163925786786
full_smatrix_neural,test,SixPathMAE_dB,10.897098541259766,10.897097865119395,-6.76140370359235e-07,0.0001,0.00676140370359235
full_smatrix_neural,test,SixPathRMSE_dB,14.46356516932207,14.463565315731618,1.4640954759670421e-07,0.0001,0.0014640954759670421
full_smatrix_neural,validation,ComplexMAE,0.06903329491615295,0.06903317047066083,-1.2444549211954037e-07,1e-06,0.12444549211954037
full_smatrix_neural,validation,ComplexNRMSE,0.7907851338386536,0.7907848464690914,-2.873695621463668e-07,1e-06,0.2873695621463668
full_smatrix_neural,test,ComplexMAE,0.06856656074523926,0.06856652240683837,-3.83384008845189e-08,1e-06,0.0383384008845189
