frequency_ghz,truth_il_s7_1_db,curve_il_s7_1_db,full_matrix_il_s7_1_db,truth_s1_1_real,truth_s1_1_imag,prediction_s1_1_real,prediction_s1_1_imag,truth_s8_1_real,truth_s8_1_imag,prediction_s8_1_real,prediction_s8_1_imag
57.0,19.07332,21.778858,24.146755,-0.25851303,-0.060574837,-0.21094489,-0.07128594,0.057222027,-0.00861172,-0.0117749665,0.011308515
57.5,21.151451,21.872385,24.813538,-0.24608842,-0.013002688,-0.20968689,-0.08140959,-0.011987594,-0.057321094,-0.011248155,0.012266289
58.0,20.808863,22.059841,25.196516,-0.24357891,-0.111965165,-0.21675646,-0.09120359,-0.06268575,0.029480398,-0.010886348,0.012449276
58.5,23.05988,22.229551,25.63405,-0.24488932,-0.07559562,-0.22215167,-0.10098219,0.040587004,0.059866875,-0.010483244,0.012741193
59.0,22.394142,22.337236,26.09932,-0.25877288,-0.12944409,-0.22673069,-0.110185504,0.047583673,-0.0650885,-0.010097537,0.013046333
59.5,23.817808,22.447388,26.630646,-0.23076123,-0.11188634,-0.23109706,-0.11960254,-0.06890338,-0.029622858,-0.009800043,0.013503706
60.0,23.26456,22.579924,27.214184,-0.27139983,-0.17139246,-0.23524381,-0.13057022,-0.006264797,0.073341995,-0.00937139,0.01401165
60.5,23.686499,22.757244,27.663998,-0.26264727,-0.1403048,-0.24341288,-0.14216918,0.06675302,-0.0017882258,-0.008757391,0.014125525
61.0,22.95343,22.937922,28.31895,-0.28349853,-0.15908197,-0.25768176,-0.15323177,-0.021415327,-0.0637862,-0.008381431,0.01455152
61.5,23.135803,23.145903,28.826742,-0.23689775,-0.15438104,-0.26476026,-0.16024314,-0.05773817,0.028163936,-0.0078334,0.014638821
62.0,22.862297,23.33295,29.176819,-0.2635425,-0.19857569,-0.27221248,-0.16830407,0.04484977,0.04510021,-0.006978976,0.014473976
62.5,23.29446,23.516544,29.319239,-0.23921297,-0.21770172,-0.277465,-0.17300256,0.034090154,-0.05089081,-0.006375932,0.0142354295
63.0,23.586533,23.644209,29.340008,-0.27704483,-0.24929263,-0.28155097,-0.17691319,-0.057565417,-0.010433164,-0.005823105,0.013956909
63.5,26.062708,23.87535,29.327944,-0.26577404,-0.302241,-0.28528154,-0.18063207,0.008277497,0.04823269,-0.0052835564,0.013689058
64.0,30.339441,24.084225,29.280321,-0.36127624,-0.34226918,-0.2893485,-0.185501,0.025927244,-0.017801661,-0.0046264348,0.013458014
64.5,35.34814,24.367361,29.080673,-0.4152769,-0.33048898,-0.2930217,-0.19064064,-0.011169145,-0.01949492,-0.0039179106,0.013205429
65.0,35.586277,24.635258,29.153278,-0.49694398,-0.2981568,-0.3037254,-0.18175422,-0.011580671,0.0081542535,-0.003040505,0.011975409
65.5,30.96438,24.924133,29.421871,-0.5111269,-0.23469032,-0.31319672,-0.16846833,0.004046328,0.014176748,-0.0024240022,0.01051845
66.0,30.219368,25.120596,29.713564,-0.54091454,-0.1845666,-0.3241514,-0.15397704,0.012424224,-0.0053257286,-0.001849485,0.00901246
66.5,27.980564,25.262747,30.026623,-0.50770205,-0.14646256,-0.3361064,-0.13999201,-0.004529216,-0.013778211,-0.0011262216,0.007439124
67.0,28.787836,25.34915,30.27956,-0.5243847,-0.10121053,-0.34608993,-0.12530144,-0.012802692,0.0059980256,-0.00036086512,0.0057413876
67.5,26.929039,25.410866,30.427025,-0.47563088,-0.09132273,-0.3495558,-0.113135405,0.009973477,0.013670936,-4.7547142e-05,0.0046593933
68.0,27.759884,25.4804,30.605625,-0.49100444,-0.04962527,-0.346695,-0.101857126,0.009660975,-0.010808746,-0.00035913414,0.004400025
